,1,2,3,4,5,6
1,0,0.214901203,0,0,0.064614046,0
2,0.214901203,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0.064614046,0,0,0,0,0
6,0,0,0,0,0,0
