,1_y,1_x,2_y,2_x,6_y,6_x,7_y,7_x,8_y,8_x,10_y,10_x,11_y,11_x,13_y,13_x,14_y,14_x,16_y,16_x,17_y,17_x,19_y,19_x,20_y,20_x,21_y,21_x,23_y,23_x,24_y,24_x,26_y,26_x,28_y,28_x,30_y,30_x,31_y,31_x,32_y,32_x,33_y,33_x,34_y,34_x,35_y,35_x,38_y,38_x,39_y,39_x
28900,34.5295,134.517668088,34.529507343891325,134.51735192412866,34.52933765386541,134.5175721279833,34.52944641107662,134.51764047204765,34.52929999859536,134.51754241728497,34.52927067572003,134.51753218749462,34.529498398110015,134.5177756877467,34.52948447637489,134.51764693373974,34.52950334046266,134.51776939057953,34.52948201581389,134.51753541548504,34.5295,134.517733133,34.529500080023986,134.51776786201276,34.52949436650532,134.51770233814196,34.52950011122111,134.5173773812398,34.529494600565734,134.5177650305312,34.529497011049656,134.5177198867391,34.52931277983214,134.51751578490416,34.529276545123956,134.5175873459394,34.5295,134.517720322,34.52929976876392,134.51757533542144,34.52948003012774,134.51734644842674,34.529491794294316,134.5176194903889,34.529510040534554,134.51754527162376,34.52949873883003,134.51770058623785,34.52950163629202,134.51776160466105,34.52929117665332,134.5175342744591
28950,34.5295,134.517670012,34.529500378757206,134.51736799390758,34.529310910102005,134.5175710624688,34.529445719801906,134.51762415234148,34.52929211599363,134.51754616107544,34.52927067572003,134.51752810849462,34.52949848521168,134.5177650973247,34.529486865134146,134.51765862721058,34.52950428178453,134.51774231914635,34.52947498625132,134.5175481087283,34.5295,134.517731647,34.529500080023986,134.51776761501276,34.529493690693926,134.51768905644627,34.52950011122111,134.51739375223983,34.52949824446725,134.5177562072068,34.5294912609632,134.5177177776849,34.529306806435564,134.51752149196946,34.529287190519256,134.51758349152666,34.5295,134.51772931099998,34.52930071020935,134.5175759281085,34.52947700589658,134.51736658585673,34.529498273198705,134.51767487880682,34.529507824826,134.51754394346437,34.529488742105265,134.51767603630333,34.52950575311587,134.51776455333683,34.52929194625653,134.51755680990328
29000,34.5295,134.517667487,34.52950004727688,134.51751184817212,34.529302417762054,134.51756808319954,34.529445714791215,134.51757708376573,34.52929315555778,134.5175458646427,34.52927,134.517531892,34.52948241034303,134.51777783716574,34.52947886790035,134.51766934041416,34.529505369789774,134.51774718169847,34.52944448465203,134.51752891710336,34.5294977,134.517734964,34.5295,134.517773686,34.529494983555765,134.51768539948955,34.5295,134.51746142800002,34.52948229855328,134.51777050883788,34.529493449876156,134.51771449473426,34.52929876852916,134.51753870200034,34.52928988576224,134.51758181797092,34.52949765891772,134.51774861048156,34.52929098165756,134.51757258918832,34.52945150207799,134.51747588399016,34.52949201506137,134.51773966830103,34.529503401053674,134.5176188400261,34.52948825785135,134.5176942966085,34.52949733222047,134.5177520956531,34.52928036503255,134.51755427789823
29050,34.529500642788264,134.5176698165581,34.52949998587595,134.51763129100635,34.529300887248645,134.5175686570268,34.52945570274685,134.5176008431389,34.529295787827635,134.51754565223067,34.52927,134.51753576299998,34.52946968325119,134.51774053314378,34.52947502146855,134.51766342706688,34.52950197077153,134.51773825669568,34.52943991532568,134.51753517742168,34.529497866019746,134.51775126838706,34.5295,134.517764928,34.529492286583256,134.5176846502709,34.5295,134.517547209,34.52946989552646,134.51773606205418,34.52949948359899,134.51771358811123,34.529297674646635,134.5175433910753,34.52928832150676,134.51758811552722,34.52949237493703,134.5177653846795,34.52929491193617,134.5175719008609,34.52944134866282,134.51756542793785,34.52949246596532,134.51773732549225,34.529501784169746,134.51768872218778,34.52949838150185,134.51772193177902,34.52949336802035,134.5176596710975,34.529278330797204,134.51756648722588
29100,34.52949467059106,134.51769244467283,34.52949764775733,134.51763825280747,34.52930716740277,134.5175736081762,34.52946205463559,134.51763884939663,34.529298285454495,134.51754770309256,34.529291924679434,134.51753719164566,34.52948326304074,134.51764476658,34.5294935329238,134.51768236180106,34.52950426062103,134.51773505891148,34.52945424045412,134.51756798283716,34.52949972378484,134.51777104854543,34.5295004993779,134.51775561099433,34.529483820269476,134.51770763589005,34.529499918231764,134.51757417282124,34.529490133730356,134.5176355942137,34.529497765846116,134.5177151111221,34.529303357854886,134.5175229778233,34.52928631213982,134.51758896514357,34.52949419152901,134.5177571556559,34.52932117569633,134.5175687465906,34.5294650594389,134.5175809950295,34.52949427366407,134.51772610235253,34.52950411810478,134.51768754524784,34.52949989832751,134.5177229228408,34.5295,134.517578854,34.52929509192281,134.51755937028796
29150,34.52948130276559,134.5176921426862,34.52949841712332,134.51762928868268,34.52933411085481,134.51761365892557,34.529470207538544,134.51761105502075,34.529298076184645,134.51755367850458,34.52935561767944,134.51753937764568,34.5294885705431,134.5176219200994,34.52949820249928,134.51768272359794,34.529503935456304,134.5177652916539,34.529466725992705,134.51758933039818,34.52949852963557,134.51778874600376,34.52950049937791,134.51776012799434,34.52948556982223,134.5177222074275,34.529499918231764,134.51757594582125,34.52950147931323,134.51761009924567,34.529498062111685,134.51771066333097,34.52933840062901,134.51751064218863,34.529287013,134.517584856,34.529499391292475,134.5177353713163,34.529370488112875,134.51755942912126,34.52947143935609,134.5176022731721,34.529482128403444,134.51769863046505,34.52950590667155,134.5176843477692,34.52949952005091,134.5177249885641,34.5295,134.517591348,34.52932034459152,134.51752082893293
29200,34.52948434408767,134.51768194900987,34.52950066789822,134.5176381651826,34.529366120314755,134.51765312673862,34.52948631720458,134.5175668939671,34.529301026,134.517559031,34.52939851588034,134.51755477841542,34.529479574510475,134.5176511374307,34.5295,134.517676302,34.5295,134.517792568,34.529480618367295,134.51761793317237,34.529498971870474,134.5177604558454,34.5295,134.517766052,34.52949369502776,134.5177150471292,34.5295,134.517576168,34.529496369759734,134.51763720644328,34.529499779864565,134.5177071013201,34.52936305143442,134.51751682044875,34.52929736801404,134.51758034566342,34.52949941021936,134.517733169292,34.52938580712794,134.51754977531087,34.5294564369727,134.5175706618826,34.52948718402681,134.51769557057162,34.5295102596088,134.5176706341955,34.529498362143514,134.51773477259033,34.529498325320034,134.51761615543813,34.52932393578203,134.51751932307076
29250,34.529493291836076,134.51767100391285,34.52949993124194,134.51765069852414,34.52938641010537,134.5176572363899,34.52949570786027,134.51754543174832,34.529305083159485,134.5175636696622,34.529403237614716,134.51758230262763,34.529487060432636,134.5176415124467,34.5295,134.517672544,34.52950456484061,134.51775396661597,34.52949207610794,134.51763366221417,34.529499853525095,134.51772802817794,34.5295,134.517762002,34.52949910495764,134.51771025198212,34.529500240452364,134.517579603374,34.52949741660635,134.51762200469412,34.5295,134.517706667,34.52936944666994,134.5175378143849,34.529320943918876,134.51757320488886,34.52949949443658,134.5177314844336,34.5293810277106,134.51754901010855,34.52944877121151,134.51755585494405,34.52949843812006,134.51771463723625,34.52951351357219,134.51766774187314,34.529498676360426,134.51773062182917,34.529504133330335,134.51762656085663,34.529324917566335,134.51753969046996
29300,34.529491362214486,134.51765430236708,34.52949997130877,134.517654722051,34.5294063331665,134.51763454136616,34.52949255706588,134.51753612575,34.52933453276198,134.5175413854143,34.529415936218676,134.51759599692943,34.529497294384484,134.51761950514398,34.5295,134.51767363300002,34.529505948465506,134.51773336790492,34.529468692503094,134.51758741022152,34.529499853525095,134.51773371517797,34.5295,134.517762717,34.52949944606589,134.51771184966125,34.5294985575183,134.51758362836773,34.52949944241924,134.51761009113116,34.5295,134.517707142,34.52937671927523,134.5175538689977,34.52933761850375,134.51758850569206,34.52950009880267,134.51773359603322,34.52939370848856,134.51757814912094,34.52946210380687,134.51757951615934,34.52949067417208,134.51770022686,34.52951064120885,134.51768396403605,34.529499935940315,134.51771780396214,34.52951027480356,134.5176281821266,34.5293150042881,134.51756362957266
29350,34.52949513950329,134.5176709388926,34.529500072494464,134.5176564789721,34.529398077079435,134.51764334357094,34.52948908560085,134.51754280929427,34.52933749424166,134.51753448106376,34.52941959722113,134.5176006346027,34.52949493602096,134.5176127140098,34.5295,134.51767646300002,34.5295013836249,134.51777269928897,34.52943778171086,134.51752922008646,34.5295,134.51773366700002,34.5295,134.517767897,34.52949993121487,134.51771690880207,34.529494402508405,134.5175822108683,34.529499576366845,134.51761487778165,34.529499455990994,134.51770557990503,34.52937027511474,134.5175429304422,34.52932972952654,134.5175960752301,34.529486386468946,134.51777161755655,34.52940135524786,134.51759605588754,34.52946428811819,134.51756739796687,34.52948470691704,134.5176866619191,34.52950824599457,134.51768347919509,34.5295,134.517724033,34.529504466793256,134.51762740770812,34.52930053770055,134.5175781822899
